803,65,859,65,859,81,803,81
871,65,1081,65,1081,78,871,78
1093,65,1150,65,1150,78,1093,78
1153,65,1193,65,1193,78,1153,78
790,87,1215,87,1215,109,790,109
1012,106,1228,109,1228,131,1012,128
768,128,821,128,821,146,768,146
831,128,881,128,881,146,831,146
1221,218,1284,218,1284,265,1221,265
1293,218,1350,218,1350,262,1293,262
696,318,1302,314,1303,439,697,443
706,464,1294,468,1293,546,705,541
700,587,840,587,840,637,700,637
846,592,964,582,968,633,850,643
975,590,1031,590,1031,634,975,634
700,656,953,656,953,709,700,709
1071,656,1331,656,1331,703,1071,703
962,659,1059,659,1059,703,962,703
911,1487,1106,1483,1107,1529,912,1533
741,1536,889,1544,887,1589,738,1580
1087,1533,1279,1540,1277,1588,1086,1580
975,1540,1081,1540,1081,1581,975,1581
893,1543,965,1543,965,1578,893,1578
881,1590,1221,1590,1221,1640,881,1640
796,1596,868,1596,868,1631,796,1631
1137,1640,1215,1640,1215,1684,1137,1684
800,1643,1131,1643,1131,1687,800,1687
812,1693,1203,1693,1203,1737,812,1737
1034,1775,1328,1775,1328,1878,1034,1878
1075,1881,1284,1881,1284,1934,1075,1934
